hits,quarter,term,year
0,1,veteran.soldier.military.armedforces AND soldier's heart,1993
0,2,veteran.soldier.military.armedforces AND soldier's heart,1993
0,3,veteran.soldier.military.armedforces AND soldier's heart,1993
0,4,veteran.soldier.military.armedforces AND soldier's heart,1993
0,1,veteran.soldier.military.armedforces AND soldier's heart,1994
0,2,veteran.soldier.military.armedforces AND soldier's heart,1994
0,3,veteran.soldier.military.armedforces AND soldier's heart,1994
0,4,veteran.soldier.military.armedforces AND soldier's heart,1994
0,1,veteran.soldier.military.armedforces AND soldier's heart,1995
0,2,veteran.soldier.military.armedforces AND soldier's heart,1995
0,3,veteran.soldier.military.armedforces AND soldier's heart,1995
0,4,veteran.soldier.military.armedforces AND soldier's heart,1995
0,1,veteran.soldier.military.armedforces AND soldier's heart,1996
0,2,veteran.soldier.military.armedforces AND soldier's heart,1996
0,3,veteran.soldier.military.armedforces AND soldier's heart,1996
0,4,veteran.soldier.military.armedforces AND soldier's heart,1996
0,1,veteran.soldier.military.armedforces AND soldier's heart,1997
0,2,veteran.soldier.military.armedforces AND soldier's heart,1997
0,3,veteran.soldier.military.armedforces AND soldier's heart,1997
0,4,veteran.soldier.military.armedforces AND soldier's heart,1997
0,1,veteran.soldier.military.armedforces AND soldier's heart,1998
0,2,veteran.soldier.military.armedforces AND soldier's heart,1998
0,3,veteran.soldier.military.armedforces AND soldier's heart,1998
1,4,veteran.soldier.military.armedforces AND soldier's heart,1998
0,1,veteran.soldier.military.armedforces AND soldier's heart,1999
0,2,veteran.soldier.military.armedforces AND soldier's heart,1999
0,3,veteran.soldier.military.armedforces AND soldier's heart,1999
0,4,veteran.soldier.military.armedforces AND soldier's heart,1999
0,1,veteran.soldier.military.armedforces AND soldier's heart,2000
0,2,veteran.soldier.military.armedforces AND soldier's heart,2000
0,3,veteran.soldier.military.armedforces AND soldier's heart,2000
0,4,veteran.soldier.military.armedforces AND soldier's heart,2000
0,1,veteran.soldier.military.armedforces AND soldier's heart,2001
0,2,veteran.soldier.military.armedforces AND soldier's heart,2001
0,3,veteran.soldier.military.armedforces AND soldier's heart,2001
0,4,veteran.soldier.military.armedforces AND soldier's heart,2001
0,1,veteran.soldier.military.armedforces AND soldier's heart,2002
0,2,veteran.soldier.military.armedforces AND soldier's heart,2002
0,3,veteran.soldier.military.armedforces AND soldier's heart,2002
0,4,veteran.soldier.military.armedforces AND soldier's heart,2002
0,1,veteran.soldier.military.armedforces AND soldier's heart,2003
0,2,veteran.soldier.military.armedforces AND soldier's heart,2003
0,3,veteran.soldier.military.armedforces AND soldier's heart,2003
0,4,veteran.soldier.military.armedforces AND soldier's heart,2003
0,1,veteran.soldier.military.armedforces AND soldier's heart,2004
0,2,veteran.soldier.military.armedforces AND soldier's heart,2004
0,3,veteran.soldier.military.armedforces AND soldier's heart,2004
0,4,veteran.soldier.military.armedforces AND soldier's heart,2004
0,1,veteran.soldier.military.armedforces AND soldier's heart,2005
0,2,veteran.soldier.military.armedforces AND soldier's heart,2005
0,3,veteran.soldier.military.armedforces AND soldier's heart,2005
0,4,veteran.soldier.military.armedforces AND soldier's heart,2005
0,1,veteran.soldier.military.armedforces AND soldier's heart,2006
0,2,veteran.soldier.military.armedforces AND soldier's heart,2006
0,3,veteran.soldier.military.armedforces AND soldier's heart,2006
0,4,veteran.soldier.military.armedforces AND soldier's heart,2006
0,1,veteran.soldier.military.armedforces AND soldier's heart,2007
0,2,veteran.soldier.military.armedforces AND soldier's heart,2007
0,3,veteran.soldier.military.armedforces AND soldier's heart,2007
6,4,veteran.soldier.military.armedforces AND soldier's heart,2007
1,1,veteran.soldier.military.armedforces AND soldier's heart,2008
1,2,veteran.soldier.military.armedforces AND soldier's heart,2008
0,3,veteran.soldier.military.armedforces AND soldier's heart,2008
1,4,veteran.soldier.military.armedforces AND soldier's heart,2008
0,1,veteran.soldier.military.armedforces AND soldier's heart,2009
0,2,veteran.soldier.military.armedforces AND soldier's heart,2009
0,3,veteran.soldier.military.armedforces AND soldier's heart,2009
0,4,veteran.soldier.military.armedforces AND soldier's heart,2009
0,1,veteran.soldier.military.armedforces AND soldier's heart,2010
0,2,veteran.soldier.military.armedforces AND soldier's heart,2010
0,3,veteran.soldier.military.armedforces AND soldier's heart,2010
0,4,veteran.soldier.military.armedforces AND soldier's heart,2010
