hits,quarter,term,year
0,2,(vets*) AND railway spine,1956
0,3,(vets*) AND railway spine,1956
0,4,(vets*) AND railway spine,1956
0,1,(vets*) AND railway spine,1957
0,2,(vets*) AND railway spine,1957
0,3,(vets*) AND railway spine,1957
0,4,(vets*) AND railway spine,1957
0,1,(vets*) AND railway spine,1958
0,2,(vets*) AND railway spine,1958
0,3,(vets*) AND railway spine,1958
0,4,(vets*) AND railway spine,1958
0,1,(vets*) AND railway spine,1959
0,2,(vets*) AND railway spine,1959
0,3,(vets*) AND railway spine,1959
0,4,(vets*) AND railway spine,1959
0,1,(vets*) AND railway spine,1960
0,2,(vets*) AND railway spine,1960
0,3,(vets*) AND railway spine,1960
0,4,(vets*) AND railway spine,1960
0,1,(vets*) AND railway spine,1961
0,2,(vets*) AND railway spine,1961
0,3,(vets*) AND railway spine,1961
0,4,(vets*) AND railway spine,1961
0,1,(vets*) AND railway spine,1962
0,2,(vets*) AND railway spine,1962
0,3,(vets*) AND railway spine,1962
0,4,(vets*) AND railway spine,1962
0,1,(vets*) AND railway spine,1963
0,2,(vets*) AND railway spine,1963
0,3,(vets*) AND railway spine,1963
0,4,(vets*) AND railway spine,1963
0,1,(vets*) AND railway spine,1964
0,2,(vets*) AND railway spine,1964
0,3,(vets*) AND railway spine,1964
0,4,(vets*) AND railway spine,1964
0,1,(vets*) AND railway spine,1965
0,2,(vets*) AND railway spine,1965
0,3,(vets*) AND railway spine,1965
0,4,(vets*) AND railway spine,1965
0,1,(vets*) AND railway spine,1966
0,2,(vets*) AND railway spine,1966
0,3,(vets*) AND railway spine,1966
0,4,(vets*) AND railway spine,1966
0,1,(vets*) AND railway spine,1967
0,2,(vets*) AND railway spine,1967
0,3,(vets*) AND railway spine,1967
0,4,(vets*) AND railway spine,1967
0,1,(vets*) AND railway spine,1968
0,2,(vets*) AND railway spine,1968
0,3,(vets*) AND railway spine,1968
0,4,(vets*) AND railway spine,1968
0,1,(vets*) AND railway spine,1969
0,2,(vets*) AND railway spine,1969
0,3,(vets*) AND railway spine,1969
0,4,(vets*) AND railway spine,1969
0,1,(vets*) AND railway spine,1970
0,2,(vets*) AND railway spine,1970
0,3,(vets*) AND railway spine,1970
