hits,quarter,term,year
0,1,(vets*) AND perpetual bogey,1943
0,2,(vets*) AND perpetual bogey,1943
0,3,(vets*) AND perpetual bogey,1943
0,4,(vets*) AND perpetual bogey,1943
0,1,(vets*) AND perpetual bogey,1944
0,2,(vets*) AND perpetual bogey,1944
0,3,(vets*) AND perpetual bogey,1944
0,4,(vets*) AND perpetual bogey,1944
0,1,(vets*) AND perpetual bogey,1945
0,2,(vets*) AND perpetual bogey,1945
0,3,(vets*) AND perpetual bogey,1945
0,4,(vets*) AND perpetual bogey,1945
0,1,(vets*) AND perpetual bogey,1946
0,2,(vets*) AND perpetual bogey,1946
0,3,(vets*) AND perpetual bogey,1946
0,4,(vets*) AND perpetual bogey,1946
0,1,(vets*) AND perpetual bogey,1947
0,2,(vets*) AND perpetual bogey,1947
0,3,(vets*) AND perpetual bogey,1947
0,4,(vets*) AND perpetual bogey,1947
0,1,(vets*) AND perpetual bogey,1948
0,2,(vets*) AND perpetual bogey,1948
0,3,(vets*) AND perpetual bogey,1948
0,4,(vets*) AND perpetual bogey,1948
0,1,(vets*) AND perpetual bogey,1949
0,2,(vets*) AND perpetual bogey,1949
0,3,(vets*) AND perpetual bogey,1949
0,4,(vets*) AND perpetual bogey,1949
0,1,(vets*) AND perpetual bogey,1950
0,2,(vets*) AND perpetual bogey,1950
0,3,(vets*) AND perpetual bogey,1950
0,4,(vets*) AND perpetual bogey,1950
0,1,(vets*) AND perpetual bogey,1951
0,2,(vets*) AND perpetual bogey,1951
0,3,(vets*) AND perpetual bogey,1951
0,4,(vets*) AND perpetual bogey,1951
0,1,(vets*) AND perpetual bogey,1952
0,2,(vets*) AND perpetual bogey,1952
0,3,(vets*) AND perpetual bogey,1952
0,4,(vets*) AND perpetual bogey,1952
0,1,(vets*) AND perpetual bogey,1953
0,2,(vets*) AND perpetual bogey,1953
0,3,(vets*) AND perpetual bogey,1953
0,4,(vets*) AND perpetual bogey,1953
0,1,(vets*) AND perpetual bogey,1954
0,2,(vets*) AND perpetual bogey,1954
0,3,(vets*) AND perpetual bogey,1954
0,4,(vets*) AND perpetual bogey,1954
0,1,(vets*) AND perpetual bogey,1955
0,2,(vets*) AND perpetual bogey,1955
0,3,(vets*) AND perpetual bogey,1955
0,4,(vets*) AND perpetual bogey,1955
0,1,(vets*) AND perpetual bogey,1956
0,2,(vets*) AND perpetual bogey,1956
0,3,(vets*) AND perpetual bogey,1956
0,4,(vets*) AND perpetual bogey,1956
0,1,(vets*) AND perpetual bogey,1957
0,2,(vets*) AND perpetual bogey,1957
0,3,(vets*) AND perpetual bogey,1957
0,4,(vets*) AND perpetual bogey,1957
0,1,(vets*) AND perpetual bogey,1958
0,2,(vets*) AND perpetual bogey,1958
0,3,(vets*) AND perpetual bogey,1958
0,4,(vets*) AND perpetual bogey,1958
0,1,(vets*) AND perpetual bogey,1959
0,2,(vets*) AND perpetual bogey,1959
0,3,(vets*) AND perpetual bogey,1959
0,4,(vets*) AND perpetual bogey,1959
0,1,(vets*) AND perpetual bogey,1960
0,2,(vets*) AND perpetual bogey,1960
0,3,(vets*) AND perpetual bogey,1960
0,4,(vets*) AND perpetual bogey,1960
0,1,(vets*) AND perpetual bogey,1961
0,2,(vets*) AND perpetual bogey,1961
0,3,(vets*) AND perpetual bogey,1961
0,4,(vets*) AND perpetual bogey,1961
0,1,(vets*) AND perpetual bogey,1962
0,2,(vets*) AND perpetual bogey,1962
0,3,(vets*) AND perpetual bogey,1962
0,4,(vets*) AND perpetual bogey,1962
0,1,(vets*) AND perpetual bogey,1963
0,2,(vets*) AND perpetual bogey,1963
0,3,(vets*) AND perpetual bogey,1963
0,4,(vets*) AND perpetual bogey,1963
0,1,(vets*) AND perpetual bogey,1964
0,2,(vets*) AND perpetual bogey,1964
0,3,(vets*) AND perpetual bogey,1964
0,4,(vets*) AND perpetual bogey,1964
0,1,(vets*) AND perpetual bogey,1965
0,2,(vets*) AND perpetual bogey,1965
0,3,(vets*) AND perpetual bogey,1965
0,4,(vets*) AND perpetual bogey,1965
0,1,(vets*) AND perpetual bogey,1966
0,2,(vets*) AND perpetual bogey,1966
0,3,(vets*) AND perpetual bogey,1966
0,4,(vets*) AND perpetual bogey,1966
0,1,(vets*) AND perpetual bogey,1967
0,2,(vets*) AND perpetual bogey,1967
0,3,(vets*) AND perpetual bogey,1967
0,4,(vets*) AND perpetual bogey,1967
0,1,(vets*) AND perpetual bogey,1968
0,2,(vets*) AND perpetual bogey,1968
0,3,(vets*) AND perpetual bogey,1968
0,4,(vets*) AND perpetual bogey,1968
0,1,(vets*) AND perpetual bogey,1969
0,2,(vets*) AND perpetual bogey,1969
0,3,(vets*) AND perpetual bogey,1969
0,4,(vets*) AND perpetual bogey,1969
0,1,(vets*) AND perpetual bogey,1970
0,2,(vets*) AND perpetual bogey,1970
0,3,(vets*) AND perpetual bogey,1970
0,4,(vets*) AND perpetual bogey,1970
0,1,(vets*) AND perpetual bogey,1971
0,2,(vets*) AND perpetual bogey,1971
0,3,(vets*) AND perpetual bogey,1971
0,4,(vets*) AND perpetual bogey,1971
0,1,(vets*) AND perpetual bogey,1972
0,2,(vets*) AND perpetual bogey,1972
0,3,(vets*) AND perpetual bogey,1972
0,4,(vets*) AND perpetual bogey,1972
0,1,(vets*) AND perpetual bogey,1973
0,2,(vets*) AND perpetual bogey,1973
0,3,(vets*) AND perpetual bogey,1973
0,4,(vets*) AND perpetual bogey,1973
0,1,(vets*) AND perpetual bogey,1974
0,2,(vets*) AND perpetual bogey,1974
0,3,(vets*) AND perpetual bogey,1974
0,4,(vets*) AND perpetual bogey,1974
0,1,(vets*) AND perpetual bogey,1975
0,2,(vets*) AND perpetual bogey,1975
0,3,(vets*) AND perpetual bogey,1975
0,4,(vets*) AND perpetual bogey,1975
0,1,(vets*) AND perpetual bogey,1976
0,2,(vets*) AND perpetual bogey,1976
0,3,(vets*) AND perpetual bogey,1976
0,4,(vets*) AND perpetual bogey,1976
0,1,(vets*) AND perpetual bogey,1977
0,2,(vets*) AND perpetual bogey,1977
0,3,(vets*) AND perpetual bogey,1977
0,4,(vets*) AND perpetual bogey,1977
0,1,(vets*) AND perpetual bogey,1978
0,2,(vets*) AND perpetual bogey,1978
0,3,(vets*) AND perpetual bogey,1978
0,4,(vets*) AND perpetual bogey,1978
0,1,(vets*) AND perpetual bogey,1979
0,2,(vets*) AND perpetual bogey,1979
0,3,(vets*) AND perpetual bogey,1979
0,4,(vets*) AND perpetual bogey,1979
